Problem Number,Problem Name,Difficulty,Top 75,Top 150,DB 50,Database
278,First Bad Version,Easy,N,N,N,N
279,Perfect Squares,Medium,N,N,N,N
282,Expression Add Operators,Hard,N,N,N,N
283,Move Zeroes,Easy,Y,N,N,N
284,Peeking Iterator,Medium,N,N,N,N
287,Find The Duplicate Number,Medium,N,N,N,N
289,Game Of Life,Medium,N,Y,N,N
290,Word Pattern,Easy,N,Y,N,N
292,Nim Game,Easy,N,N,N,N
295,Find Median From Data Stream,Hard,N,Y,N,N
297,Serialize And Deserialize Binary Tree,Hard,N,N,N,N
299,Bulls And Cows,Medium,N,N,N,N
300,Longest Increasing Subsequence,Medium,N,Y,N,N
301,Remove Invalid Parentheses,Hard,N,N,N,N
303,Range Sum Query - Immutable,Easy,N,N,N,N
304,Range Sum Query 2D - Immutable,Medium,N,N,N,N
306,Additive Number,Medium,N,N,N,N
309,Best Time To Buy And Sell Stock With Cooldown,Medium,N,N,N,N
310,Minimum Height Trees,Medium,N,N,N,N
312,Burst Balloons,Hard,N,N,N,N
313,Super Ugly Number,Medium,N,N,N,N
315,Count Of Smaller Numbers After Self,Hard,N,N,N,N
316,Remove Duplicate Letters,Medium,N,N,N,N
318,Maximum Product Of Word Lengths,Medium,N,N,N,N
319,Bulb Switcher,Medium,N,N,N,N
321,Create Maximum Number,Hard,N,N,N,N
322,Coin Change,Medium,N,Y,N,N
326,Power Of Three,Easy,N,N,N,N
327,Count Of Range Sum,Hard,N,N,N,N
328,Odd Even Linked List,Medium,Y,N,N,N
329,Longest Increasing Path In A Matrix,Hard,N,N,N,N
330,Patching Array,Hard,N,N,N,N
331,Verify Preorder Serialization Of A Binary Tree,Medium,N,N,N,N
334,Increasing Triplet Subsequence,Medium,Y,N,N,N
335,Self Crossing,Hard,N,N,N,N
336,Palindrome Pairs,Hard,N,N,N,N
337,House Robber III,Medium,N,N,N,N
338,Counting Bits,Easy,Y,N,N,N
341,Flatten Nested List Iterator,Medium,N,N,N,N
342,Power Of Four,Easy,N,N,N,N
343,Integer Break,Medium,N,N,N,N
344,Reverse String,Easy,N,N,N,N
345,Reverse Vowels Of A String,Easy,Y,N,N,N
347,Top K Frequent Elements,Medium,N,N,N,N
349,Intersection Of Two Arrays,Easy,N,N,N,N
350,Intersection Of Two Arrays II,Easy,N,N,N,N
352,Data Stream As Disjoint Intervals,Hard,N,N,N,N
355,Design Twitter,Medium,N,N,N,N
357,Count Numbers With Unique Digits,Medium,N,N,N,N
365,Water And Jug Problem,Medium,N,N,N,N
367,Valid Perfect Square,Easy,N,N,N,N
368,Largest Divisible Subset,Medium,N,N,N,N
371,Sum Of Two Integers,Medium,N,N,N,N
372,Super Pow,Medium,N,N,N,N
373,Find K Pairs With Smallest Sums,Medium,N,Y,N,N
374,Guess Number Higher Or Lower,Easy,Y,N,N,N
375,Guess Number Higher Or Lower II,Medium,N,N,N,N
376,Wiggle Subsequence,Medium,N,N,N,N
377,Combination Sum IV,Medium,N,N,N,N
378,Kth Smallest Element In A Sorted Matrix,Medium,N,N,N,N
380,Insert Delete GetRandom O(1),Easy,N,Y,N,N
381,Insert Delete Getrandom O(1) - Duplicates Allowed,Hard,N,N,N,N
382,Linked List Random Node,Medium,N,N,N,N
383,Ransom Note,Easy,N,Y,N,N
384,Shuffle An Array,Medium,N,N,N,N
385,Mini Parser,Medium,N,N,N,N
386,Lexicographical Numbers,Medium,N,N,N,N
387,First Unique Character In A String,Easy,N,N,N,N
388,Longest Absolute File Path,Medium,N,N,N,N
389,Find The Difference,Easy,N,N,N,N
390,Elimination Game,Medium,N,N,N,N
391,Perfect Rectangle,Hard,N,N,N,N
392,Is Subsequence,Easy,Y,Y,N,N
393,UTF-8 Validation,Medium,N,N,N,N
394,Decode String,Medium,Y,N,N,N
395,Longest Substring With At Least K Repeating Characters,Medium,N,N,N,N
396,Rotate Function,Medium,N,N,N,N
397,Integer Replacement,Medium,N,N,N,N
398,Random Pick Index,Medium,N,N,N,N
399,Evaluate Division,Medium,Y,Y,N,N
400,Nth Digit,Medium,N,N,N,N
401,Binary Watch,Easy,N,N,N,N
402,Remove K Digits,Medium,N,N,N,N
403,Frog Jump,Hard,N,N,N,N
404,Sum Of Left Leaves,Easy,N,N,N,N
405,Convert A Number To Hexadecimal,Easy,N,N,N,N
406,Queue Reconstruction By Height,Medium,N,N,N,N
407,Trapping Rain Water II,Hard,N,N,N,N
409,Longest Palindrome,Easy,N,N,N,N
410,Split Array Largest Sum,Hard,N,N,N,N
412,Fizz Buzz,Easy,N,N,N,N
413,Arithmetic Slices,Medium,N,N,N,N
414,Third Maximum Number,Easy,N,N,N,N
415,Add Strings,Easy,N,N,N,N
416,Partition Equal Subset Sum,Medium,N,N,N,N
417,Pacific Atlantic Water Flow,Medium,N,N,N,N
419,Battleships In A Board,Medium,N,N,N,N
420,Strong Password Checker,Hard,N,N,N,N
421,Maximum XOR of Two Numbers In An Array,Medium,N,N,N,N
423,Reconstruct Original Digits From English,Medium,N,N,N,N
424,Longest Repeating Character Replacement,Medium,N,N,N,N
427,Construct Quad Tree,Medium,N,Y,N,N
429,N-Ary Tree Level Order Traversal,Medium,N,N,N,N
430,Flatten A Multilevel Doubly Linked List,Medium,N,N,N,N
432,All O'One Data Structure,Hard,N,N,N,N
433,Minimum Genetic Mutation,Medium,N,Y,N,N
434,Number Of Segments In A String,Easy,N,N,N,N
435,Non-Overlapping Intervals,Medium,Y,N,N,N
436,Find Right Interval,Medium,N,N,N,N
437,Path Sum III,Medium,Y,N,N,N
438,Find All Anagrams In A String,Medium,N,N,N,N
440,K-Th Smallest In Lexicographical Order,Hard,N,N,N,N
441,Arranging Coins,Easy,N,N,N,N
442,Find All Duplicates In An Array,Medium,N,N,N,N
443,String Compression,Medium,Y,N,N,N
445,Add Two Numbers II,Medium,N,N,N,N
446,Arithmetic Slices II - Subsequence,Hard,N,N,N,N
447,Number Of Boomerangs,Medium,N,N,N,N
448,Find All Numbers Disappeared In An Array,Easy,N,N,N,N
449,Serialize And Deserialize BST,Medium,N,N,N,N
450,Delete Node In A BST,Medium,Y,N,N,N
451,Sort Characters By Frequency,Medium,N,N,N,N
